Feature,Importance,Percentage
typing_intensity,0.8962636443759031,89.62636443759028
idle_duration,0.06639762296186433,6.639762296186431
time_socialmedia,0.009420130375554224,0.9420130375554222
time_coding,0.008761269632490895,0.8761269632490893
time_browsing,0.0038609971763130285,0.38609971763130274
time_email,0.0035515065236221546,0.3551506523622154
time_docs,0.00318256806367566,0.3182568063675659
task_switching_frequency,0.0031113992980406004,0.31113992980405997
mouse_intensity,0.0030167804670088185,0.3016780467008818
time_meetings,0.002434081125527197,0.24340811255271966
