session_id,device_id,typing_intensity,mouse_intensity,idle_duration,task_switch_delta,task_switch_total,time_coding,time_browsing,time_other,time_coding_str,time_browsing_str,time_other_str,active_window_title,task_switching_frequency,time_email,time_meetings,time_socialmedia,time_docs,PredictedProductivity,ClusterID,RoleName,RoleGroup,ProductivityStatus,Timestamp,SessionID
1758272177,Nitro,0.27,0.44,3.88,0,7,0.0,195.81,0,0s,3m 15s,0s,project2 - google chrome,0,0,0,0,0,23.5,1,Analyst,Business,❌ Not Productive,2025-09-19 14:26:17,1758272177
1758272191,Nitro,0.0,0.0,1.06,0,0,0.0,1.06,0,0s,1s,0s,streamlit - google chrome,0,0,0,0,0,25.66,3,Designer,Creative,❌ Not Productive,2025-09-19 14:26:31,1758272190
1758272197,Nitro,0.0,0.61,0.04,1,1,0.0,6.69,0,0s,6s,0s,⚡ productivity & role clustering - google chrome,0,0,0,0,0,25.79,3,Designer,Creative,❌ Not Productive,2025-09-19 14:26:37,1758272196
1758272202,Nitro,0.0,1.02,1.03,0,1,0.0,11.72,0,0s,11s,0s,⚡ productivity & role clustering - google chrome,0,0,0,0,0,25.4,3,Designer,Creative,❌ Not Productive,2025-09-19 14:26:42,1758272201
1758272207,Nitro,2.81,0.0,0.07,0,1,0.0,16.7,0,0s,16s,0s,⚡ productivity & role clustering - google chrome,0,0,0,0,0,25.46,3,Designer,Creative,❌ Not Productive,2025-09-19 14:26:47,1758272206
1758272212,Nitro,11.78,0.0,0.1,0,1,0.0,21.71,0,0s,21s,0s,⚡ productivity & role clustering - google chrome,0,0,0,0,0,25.44,3,Designer,Creative,❌ Not Productive,2025-09-19 14:26:52,1758272211
1758272217,Nitro,6.6,25.29,0.0,0,1,0.0,26.72,0,0s,26s,0s,⚡ productivity & role clustering - google chrome,0,0,0,0,0,25.04,1,Analyst,Business,❌ Not Productive,2025-09-19 14:26:57,1758272216
1758272222,Nitro,6.38,2.22,0.13,0,1,0.0,31.73,0,0s,31s,0s,⚡ productivity & role clustering - google chrome,0,0,0,0,0,25.44,1,Analyst,Business,❌ Not Productive,2025-09-19 14:27:02,1758272221
1758272227,Nitro,3.63,0.0,0.0,0,1,0.0,36.69,0,0s,36s,0s,⚡ productivity & role clustering - google chrome,0,0,0,0,0,25.44,1,Analyst,Business,❌ Not Productive,2025-09-19 14:27:07,1758272226
1758272232,Nitro,1.39,0.85,0.09,1,2,5.77,36.69,0,5s,36s,0s,app.py - productivity_role_predictor - visual studio code,0,0,0,0,0,25.79,1,Analyst,Business,❌ Not Productive,2025-09-19 14:27:12,1758272232
1758272236,Nitro,9.55,0.0,0.5,1,3,5.77,40.88,0,5s,40s,0s,⚡ productivity & role clustering - google chrome,0,0,0,0,0,25.79,1,Analyst,Business,❌ Not Productive,2025-09-19 14:27:17,1758272236
